"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Brooks County, GA"	"13027"	"2011"	"2011"	8186
	"Female"	"F"	"Brooks County, GA"	"13027"	"2015"	"2015"	7970
"Total"	"Female"	"F"	"Brooks County, GA"	"13027"			16156
	"Female"	"F"	"Bryan County, GA"	"13029"	"2011"	"2011"	15823
	"Female"	"F"	"Bryan County, GA"	"13029"	"2015"	"2015"	17499
"Total"	"Female"	"F"	"Bryan County, GA"	"13029"			33322
	"Female"	"F"	"Bulloch County, GA"	"13031"	"2011"	"2011"	36459
	"Female"	"F"	"Bulloch County, GA"	"13031"	"2015"	"2015"	37163
"Total"	"Female"	"F"	"Bulloch County, GA"	"13031"			73622
	"Female"	"F"	"Burke County, GA"	"13033"	"2011"	"2011"	12120
	"Female"	"F"	"Burke County, GA"	"13033"	"2015"	"2015"	11807
"Total"	"Female"	"F"	"Burke County, GA"	"13033"			23927
	"Female"	"F"	"Butts County, GA"	"13035"	"2011"	"2011"	11092
	"Female"	"F"	"Butts County, GA"	"13035"	"2015"	"2015"	11000
"Total"	"Female"	"F"	"Butts County, GA"	"13035"			22092
	"Female"	"F"	"Calhoun County, GA"	"13037"	"2011"	"2011"	2687
	"Female"	"F"	"Calhoun County, GA"	"13037"	"2015"	"2015"	2616
"Total"	"Female"	"F"	"Calhoun County, GA"	"13037"			5303
	"Female"	"F"	"Camden County, GA"	"13039"	"2011"	"2011"	24757
	"Female"	"F"	"Camden County, GA"	"13039"	"2015"	"2015"	25193
"Total"	"Female"	"F"	"Camden County, GA"	"13039"			49950
	"Female"	"F"	"Candler County, GA"	"13043"	"2011"	"2011"	5678
	"Female"	"F"	"Candler County, GA"	"13043"	"2015"	"2015"	5548
"Total"	"Female"	"F"	"Candler County, GA"	"13043"			11226
	"Female"	"F"	"Carroll County, GA"	"13045"	"2011"	"2011"	56802
	"Female"	"F"	"Carroll County, GA"	"13045"	"2015"	"2015"	58524
"Total"	"Female"	"F"	"Carroll County, GA"	"13045"			115326
	"Female"	"F"	"Catoosa County, GA"	"13047"	"2011"	"2011"	33348
	"Female"	"F"	"Catoosa County, GA"	"13047"	"2015"	"2015"	33865
"Total"	"Female"	"F"	"Catoosa County, GA"	"13047"			67213
	"Female"	"F"	"Charlton County, GA"	"13049"	"2011"	"2011"	5316
	"Female"	"F"	"Charlton County, GA"	"13049"	"2015"	"2015"	5283
"Total"	"Female"	"F"	"Charlton County, GA"	"13049"			10599
	"Female"	"F"	"Chatham County, GA"	"13051"	"2011"	"2011"	140525
	"Female"	"F"	"Chatham County, GA"	"13051"	"2015"	"2015"	147965
"Total"	"Female"	"F"	"Chatham County, GA"	"13051"			288490
	"Female"	"F"	"Chattahoochee County, GA"	"13053"	"2011"	"2011"	4003
	"Female"	"F"	"Chattahoochee County, GA"	"13053"	"2015"	"2015"	3574
"Total"	"Female"	"F"	"Chattahoochee County, GA"	"13053"			7577
	"Female"	"F"	"Chattooga County, GA"	"13055"	"2011"	"2011"	12369
	"Female"	"F"	"Chattooga County, GA"	"13055"	"2015"	"2015"	12158
"Total"	"Female"	"F"	"Chattooga County, GA"	"13055"			24527
	"Female"	"F"	"Cherokee County, GA"	"13057"	"2011"	"2011"	110349
	"Female"	"F"	"Cherokee County, GA"	"13057"	"2015"	"2015"	119651
"Total"	"Female"	"F"	"Cherokee County, GA"	"13057"			230000
	"Female"	"F"	"Clarke County, GA"	"13059"	"2011"	"2011"	61965
	"Female"	"F"	"Clarke County, GA"	"13059"	"2015"	"2015"	64673
"Total"	"Female"	"F"	"Clarke County, GA"	"13059"			126638
	"Female"	"F"	"Clay County, GA"	"13061"	"2011"	"2011"	1698
	"Female"	"F"	"Clay County, GA"	"13061"	"2015"	"2015"	1626
"Total"	"Female"	"F"	"Clay County, GA"	"13061"			3324
	"Female"	"F"	"Clayton County, GA"	"13063"	"2011"	"2011"	136913
	"Female"	"F"	"Clayton County, GA"	"13063"	"2015"	"2015"	144191
"Total"	"Female"	"F"	"Clayton County, GA"	"13063"			281104
	"Female"	"F"	"Clinch County, GA"	"13065"	"2011"	"2011"	3456
	"Female"	"F"	"Clinch County, GA"	"13065"	"2015"	"2015"	3486
"Total"	"Female"	"F"	"Clinch County, GA"	"13065"			6942
	"Female"	"F"	"Cobb County, GA"	"13067"	"2011"	"2011"	358318
	"Female"	"F"	"Cobb County, GA"	"13067"	"2015"	"2015"	381828
"Total"	"Female"	"F"	"Cobb County, GA"	"13067"			740146
	"Female"	"F"	"Coffee County, GA"	"13069"	"2011"	"2011"	20838
	"Female"	"F"	"Coffee County, GA"	"13069"	"2015"	"2015"	21011
"Total"	"Female"	"F"	"Coffee County, GA"	"13069"			41849
	"Female"	"F"	"Colquitt County, GA"	"13071"	"2011"	"2011"	23093
	"Female"	"F"	"Colquitt County, GA"	"13071"	"2015"	"2015"	22931
"Total"	"Female"	"F"	"Colquitt County, GA"	"13071"			46024
	"Female"	"F"	"Columbia County, GA"	"13073"	"2011"	"2011"	66198
	"Female"	"F"	"Columbia County, GA"	"13073"	"2015"	"2015"	73609
"Total"	"Female"	"F"	"Columbia County, GA"	"13073"			139807
	"Female"	"F"	"Cook County, GA"	"13075"	"2011"	"2011"	8750
	"Female"	"F"	"Cook County, GA"	"13075"	"2015"	"2015"	8917
"Total"	"Female"	"F"	"Cook County, GA"	"13075"			17667
	"Female"	"F"	"Coweta County, GA"	"13077"	"2011"	"2011"	66117
	"Female"	"F"	"Coweta County, GA"	"13077"	"2015"	"2015"	70846
"Total"	"Female"	"F"	"Coweta County, GA"	"13077"			136963
	"Female"	"F"	"Crawford County, GA"	"13079"	"2011"	"2011"	6230
	"Female"	"F"	"Crawford County, GA"	"13079"	"2015"	"2015"	6134
"Total"	"Female"	"F"	"Crawford County, GA"	"13079"			12364
	"Female"	"F"	"Crisp County, GA"	"13081"	"2011"	"2011"	12353
	"Female"	"F"	"Crisp County, GA"	"13081"	"2015"	"2015"	12059
"Total"	"Female"	"F"	"Crisp County, GA"	"13081"			24412
	"Female"	"F"	"Dade County, GA"	"13083"	"2011"	"2011"	8422
	"Female"	"F"	"Dade County, GA"	"13083"	"2015"	"2015"	8267
"Total"	"Female"	"F"	"Dade County, GA"	"13083"			16689
	"Female"	"F"	"Dawson County, GA"	"13085"	"2011"	"2011"	11115
	"Female"	"F"	"Dawson County, GA"	"13085"	"2015"	"2015"	11733
"Total"	"Female"	"F"	"Dawson County, GA"	"13085"			22848
	"Female"	"F"	"Decatur County, GA"	"13087"	"2011"	"2011"	14149
	"Female"	"F"	"Decatur County, GA"	"13087"	"2015"	"2015"	13877
"Total"	"Female"	"F"	"Decatur County, GA"	"13087"			28026
	"Female"	"F"	"DeKalb County, GA"	"13089"	"2011"	"2011"	364478
	"Female"	"F"	"DeKalb County, GA"	"13089"	"2015"	"2015"	386349
"Total"	"Female"	"F"	"DeKalb County, GA"	"13089"			750827
	"Female"	"F"	"Dodge County, GA"	"13091"	"2011"	"2011"	10335
	"Female"	"F"	"Dodge County, GA"	"13091"	"2015"	"2015"	10135
"Total"	"Female"	"F"	"Dodge County, GA"	"13091"			20470
	"Female"	"F"	"Dooly County, GA"	"13093"	"2011"	"2011"	6696
	"Female"	"F"	"Dooly County, GA"	"13093"	"2015"	"2015"	6490
"Total"	"Female"	"F"	"Dooly County, GA"	"13093"			13186
	"Female"	"F"	"Dougherty County, GA"	"13095"	"2011"	"2011"	50767
	"Female"	"F"	"Dougherty County, GA"	"13095"	"2015"	"2015"	49106
"Total"	"Female"	"F"	"Dougherty County, GA"	"13095"			99873
	"Female"	"F"	"Douglas County, GA"	"13097"	"2011"	"2011"	69125
	"Female"	"F"	"Douglas County, GA"	"13097"	"2015"	"2015"	73324
"Total"	"Female"	"F"	"Douglas County, GA"	"13097"			142449
	"Female"	"F"	"Early County, GA"	"13099"	"2011"	"2011"	5718
	"Female"	"F"	"Early County, GA"	"13099"	"2015"	"2015"	5572
"Total"	"Female"	"F"	"Early County, GA"	"13099"			11290
	"Female"	"F"	"Echols County, GA"	"13101"	"2011"	"2011"	2024
	"Female"	"F"	"Echols County, GA"	"13101"	"2015"	"2015"	2008
"Total"	"Female"	"F"	"Echols County, GA"	"13101"			4032
	"Female"	"F"	"Effingham County, GA"	"13103"	"2011"	"2011"	26438
	"Female"	"F"	"Effingham County, GA"	"13103"	"2015"	"2015"	28765
"Total"	"Female"	"F"	"Effingham County, GA"	"13103"			55203
	"Female"	"F"	"Elbert County, GA"	"13105"	"2011"	"2011"	10373
	"Female"	"F"	"Elbert County, GA"	"13105"	"2015"	"2015"	10044
"Total"	"Female"	"F"	"Elbert County, GA"	"13105"			20417
	"Female"	"F"	"Emanuel County, GA"	"13107"	"2011"	"2011"	11487
	"Female"	"F"	"Emanuel County, GA"	"13107"	"2015"	"2015"	11433
"Total"	"Female"	"F"	"Emanuel County, GA"	"13107"			22920
	"Female"	"F"	"Evans County, GA"	"13109"	"2011"	"2011"	5555
	"Female"	"F"	"Evans County, GA"	"13109"	"2015"	"2015"	5521
"Total"	"Female"	"F"	"Evans County, GA"	"13109"			11076
	"Female"	"F"	"Fannin County, GA"	"13111"	"2011"	"2011"	12100
	"Female"	"F"	"Fannin County, GA"	"13111"	"2015"	"2015"	12571
"Total"	"Female"	"F"	"Fannin County, GA"	"13111"			24671
	"Female"	"F"	"Fayette County, GA"	"13113"	"2011"	"2011"	55382
	"Female"	"F"	"Fayette County, GA"	"13113"	"2015"	"2015"	56767
"Total"	"Female"	"F"	"Fayette County, GA"	"13113"			112149
	"Female"	"F"	"Floyd County, GA"	"13115"	"2011"	"2011"	49507
	"Female"	"F"	"Floyd County, GA"	"13115"	"2015"	"2015"	49629
"Total"	"Female"	"F"	"Floyd County, GA"	"13115"			99136
	"Female"	"F"	"Forsyth County, GA"	"13117"	"2011"	"2011"	91560
	"Female"	"F"	"Forsyth County, GA"	"13117"	"2015"	"2015"	106250
"Total"	"Female"	"F"	"Forsyth County, GA"	"13117"			197810
	"Female"	"F"	"Franklin County, GA"	"13119"	"2011"	"2011"	11171
	"Female"	"F"	"Franklin County, GA"	"13119"	"2015"	"2015"	11388
"Total"	"Female"	"F"	"Franklin County, GA"	"13119"			22559
	"Female"	"F"	"Fulton County, GA"	"13121"	"2011"	"2011"	486232
	"Female"	"F"	"Fulton County, GA"	"13121"	"2015"	"2015"	518699
"Total"	"Female"	"F"	"Fulton County, GA"	"13121"			1004931
	"Female"	"F"	"Gilmer County, GA"	"13123"	"2011"	"2011"	14232
	"Female"	"F"	"Gilmer County, GA"	"13123"	"2015"	"2015"	14698
"Total"	"Female"	"F"	"Gilmer County, GA"	"13123"			28930
	"Female"	"F"	"Glascock County, GA"	"13125"	"2011"	"2011"	1614
	"Female"	"F"	"Glascock County, GA"	"13125"	"2015"	"2015"	1538
"Total"	"Female"	"F"	"Glascock County, GA"	"13125"			3152
	"Female"	"F"	"Glynn County, GA"	"13127"	"2011"	"2011"	42135
	"Female"	"F"	"Glynn County, GA"	"13127"	"2015"	"2015"	43886
"Total"	"Female"	"F"	"Glynn County, GA"	"13127"			86021
	"Female"	"F"	"Gordon County, GA"	"13129"	"2011"	"2011"	28023
	"Female"	"F"	"Gordon County, GA"	"13129"	"2015"	"2015"	28439
"Total"	"Female"	"F"	"Gordon County, GA"	"13129"			56462
	"Female"	"F"	"Grady County, GA"	"13131"	"2011"	"2011"	12940
	"Female"	"F"	"Grady County, GA"	"13131"	"2015"	"2015"	12979
"Total"	"Female"	"F"	"Grady County, GA"	"13131"			25919
	"Female"	"F"	"Greene County, GA"	"13133"	"2011"	"2011"	8219
	"Female"	"F"	"Greene County, GA"	"13133"	"2015"	"2015"	8521
"Total"	"Female"	"F"	"Greene County, GA"	"13133"			16740
	"Female"	"F"	"Gwinnett County, GA"	"13135"	"2011"	"2011"	418002
	"Female"	"F"	"Gwinnett County, GA"	"13135"	"2015"	"2015"	453867
"Total"	"Female"	"F"	"Gwinnett County, GA"	"13135"			871869
	"Female"	"F"	"Habersham County, GA"	"13137"	"2011"	"2011"	22753
	"Female"	"F"	"Habersham County, GA"	"13137"	"2015"	"2015"	23080
"Total"	"Female"	"F"	"Habersham County, GA"	"13137"			45833
	"Female"	"F"	"Hall County, GA"	"13139"	"2011"	"2011"	91350
	"Female"	"F"	"Hall County, GA"	"13139"	"2015"	"2015"	96463
"Total"	"Female"	"F"	"Hall County, GA"	"13139"			187813
	"Female"	"F"	"Hancock County, GA"	"13141"	"2011"	"2011"	4195
	"Female"	"F"	"Hancock County, GA"	"13141"	"2015"	"2015"	3907
"Total"	"Female"	"F"	"Hancock County, GA"	"13141"			8102
	"Female"	"F"	"Haralson County, GA"	"13143"	"2011"	"2011"	14596
	"Female"	"F"	"Haralson County, GA"	"13143"	"2015"	"2015"	14795
"Total"	"Female"	"F"	"Haralson County, GA"	"13143"			29391
	"Female"	"F"	"Harris County, GA"	"13145"	"2011"	"2011"	16216
	"Female"	"F"	"Harris County, GA"	"13145"	"2015"	"2015"	16586
"Total"	"Female"	"F"	"Harris County, GA"	"13145"			32802
	"Female"	"F"	"Hart County, GA"	"13147"	"2011"	"2011"	12863
	"Female"	"F"	"Hart County, GA"	"13147"	"2015"	"2015"	12911
"Total"	"Female"	"F"	"Hart County, GA"	"13147"			25774
	"Female"	"F"	"Heard County, GA"	"13149"	"2011"	"2011"	5871
	"Female"	"F"	"Heard County, GA"	"13149"	"2015"	"2015"	5804
"Total"	"Female"	"F"	"Heard County, GA"	"13149"			11675
	"Female"	"F"	"Henry County, GA"	"13151"	"2011"	"2011"	107772
	"Female"	"F"	"Henry County, GA"	"13151"	"2015"	"2015"	113024
"Total"	"Female"	"F"	"Henry County, GA"	"13151"			220796
	"Female"	"F"	"Houston County, GA"	"13153"	"2011"	"2011"	73880
	"Female"	"F"	"Houston County, GA"	"13153"	"2015"	"2015"	76594
"Total"	"Female"	"F"	"Houston County, GA"	"13153"			150474
	"Female"	"F"	"Irwin County, GA"	"13155"	"2011"	"2011"	4715
	"Female"	"F"	"Irwin County, GA"	"13155"	"2015"	"2015"	4490
"Total"	"Female"	"F"	"Irwin County, GA"	"13155"			9205
	"Female"	"F"	"Jackson County, GA"	"13157"	"2011"	"2011"	30733
	"Female"	"F"	"Jackson County, GA"	"13157"	"2015"	"2015"	32030
"Total"	"Female"	"F"	"Jackson County, GA"	"13157"			62763
	"Female"	"F"	"Jasper County, GA"	"13159"	"2011"	"2011"	6976
	"Female"	"F"	"Jasper County, GA"	"13159"	"2015"	"2015"	6980
"Total"	"Female"	"F"	"Jasper County, GA"	"13159"			13956
	"Female"	"F"	"Jeff Davis County, GA"	"13161"	"2011"	"2011"	7642
	"Female"	"F"	"Jeff Davis County, GA"	"13161"	"2015"	"2015"	7624
"Total"	"Female"	"F"	"Jeff Davis County, GA"	"13161"			15266
	"Female"	"F"	"Jefferson County, GA"	"13163"	"2011"	"2011"	8631
	"Female"	"F"	"Jefferson County, GA"	"13163"	"2015"	"2015"	8170
"Total"	"Female"	"F"	"Jefferson County, GA"	"13163"			16801
	"Female"	"F"	"Jenkins County, GA"	"13165"	"2011"	"2011"	4261
	"Female"	"F"	"Jenkins County, GA"	"13165"	"2015"	"2015"	4131
"Total"	"Female"	"F"	"Jenkins County, GA"	"13165"			8392
	"Female"	"F"	"Johnson County, GA"	"13167"	"2011"	"2011"	4406
	"Female"	"F"	"Johnson County, GA"	"13167"	"2015"	"2015"	4241
"Total"	"Female"	"F"	"Johnson County, GA"	"13167"			8647
	"Female"	"F"	"Jones County, GA"	"13169"	"2011"	"2011"	14779
	"Female"	"F"	"Jones County, GA"	"13169"	"2015"	"2015"	14635
"Total"	"Female"	"F"	"Jones County, GA"	"13169"			29414
	"Female"	"F"	"Lamar County, GA"	"13171"	"2011"	"2011"	9539
	"Female"	"F"	"Lamar County, GA"	"13171"	"2015"	"2015"	9484
"Total"	"Female"	"F"	"Lamar County, GA"	"13171"			19023
	"Female"	"F"	"Lanier County, GA"	"13173"	"2011"	"2011"	5156
	"Female"	"F"	"Lanier County, GA"	"13173"	"2015"	"2015"	5085
"Total"	"Female"	"F"	"Lanier County, GA"	"13173"			10241
	"Female"	"F"	"Laurens County, GA"	"13175"	"2011"	"2011"	25001
	"Female"	"F"	"Laurens County, GA"	"13175"	"2015"	"2015"	24975
"Total"	"Female"	"F"	"Laurens County, GA"	"13175"			49976
	"Female"	"F"	"Lee County, GA"	"13177"	"2011"	"2011"	14259
	"Female"	"F"	"Lee County, GA"	"13177"	"2015"	"2015"	14510
"Total"	"Female"	"F"	"Lee County, GA"	"13177"			28769
	"Female"	"F"	"Liberty County, GA"	"13179"	"2011"	"2011"	32808
	"Female"	"F"	"Liberty County, GA"	"13179"	"2015"	"2015"	30142
"Total"	"Female"	"F"	"Liberty County, GA"	"13179"			62950
	"Female"	"F"	"Lincoln County, GA"	"13181"	"2011"	"2011"	4005
	"Female"	"F"	"Lincoln County, GA"	"13181"	"2015"	"2015"	3959
"Total"	"Female"	"F"	"Lincoln County, GA"	"13181"			7964
	"Female"	"F"	"Long County, GA"	"13183"	"2011"	"2011"	7576
	"Female"	"F"	"Long County, GA"	"13183"	"2015"	"2015"	8719
"Total"	"Female"	"F"	"Long County, GA"	"13183"			16295
	"Female"	"F"	"Lowndes County, GA"	"13185"	"2011"	"2011"	56811
	"Female"	"F"	"Lowndes County, GA"	"13185"	"2015"	"2015"	57896
"Total"	"Female"	"F"	"Lowndes County, GA"	"13185"			114707
	"Female"	"F"	"Lumpkin County, GA"	"13187"	"2011"	"2011"	15321
	"Female"	"F"	"Lumpkin County, GA"	"13187"	"2015"	"2015"	15764
"Total"	"Female"	"F"	"Lumpkin County, GA"	"13187"			31085
	"Female"	"F"	"McDuffie County, GA"	"13189"	"2011"	"2011"	11405
	"Female"	"F"	"McDuffie County, GA"	"13189"	"2015"	"2015"	11377
"Total"	"Female"	"F"	"McDuffie County, GA"	"13189"			22782
	"Female"	"F"	"McIntosh County, GA"	"13191"	"2011"	"2011"	7247
	"Female"	"F"	"McIntosh County, GA"	"13191"	"2015"	"2015"	7123
"Total"	"Female"	"F"	"McIntosh County, GA"	"13191"			14370
	"Female"	"F"	"Macon County, GA"	"13193"	"2011"	"2011"	6603
	"Female"	"F"	"Macon County, GA"	"13193"	"2015"	"2015"	6242
"Total"	"Female"	"F"	"Macon County, GA"	"13193"			12845
	"Female"	"F"	"Madison County, GA"	"13195"	"2011"	"2011"	14257
	"Female"	"F"	"Madison County, GA"	"13195"	"2015"	"2015"	14409
"Total"	"Female"	"F"	"Madison County, GA"	"13195"			28666
	"Female"	"F"	"Marion County, GA"	"13197"	"2011"	"2011"	4420
	"Female"	"F"	"Marion County, GA"	"13197"	"2015"	"2015"	4307
"Total"	"Female"	"F"	"Marion County, GA"	"13197"			8727
	"Female"	"F"	"Meriwether County, GA"	"13199"	"2011"	"2011"	11275
	"Female"	"F"	"Meriwether County, GA"	"13199"	"2015"	"2015"	11005
"Total"	"Female"	"F"	"Meriwether County, GA"	"13199"			22280
	"Female"	"F"	"Miller County, GA"	"13201"	"2011"	"2011"	3164
	"Female"	"F"	"Miller County, GA"	"13201"	"2015"	"2015"	3061
"Total"	"Female"	"F"	"Miller County, GA"	"13201"			6225
	"Female"	"F"	"Mitchell County, GA"	"13205"	"2011"	"2011"	11229
	"Female"	"F"	"Mitchell County, GA"	"13205"	"2015"	"2015"	10778
"Total"	"Female"	"F"	"Mitchell County, GA"	"13205"			22007
	"Female"	"F"	"Monroe County, GA"	"13207"	"2011"	"2011"	13189
	"Female"	"F"	"Monroe County, GA"	"13207"	"2015"	"2015"	13363
"Total"	"Female"	"F"	"Monroe County, GA"	"13207"			26552
	"Female"	"F"	"Montgomery County, GA"	"13209"	"2011"	"2011"	4386
	"Female"	"F"	"Montgomery County, GA"	"13209"	"2015"	"2015"	4313
"Total"	"Female"	"F"	"Montgomery County, GA"	"13209"			8699
	"Female"	"F"	"Morgan County, GA"	"13211"	"2011"	"2011"	9240
	"Female"	"F"	"Morgan County, GA"	"13211"	"2015"	"2015"	9299
"Total"	"Female"	"F"	"Morgan County, GA"	"13211"			18539
	"Female"	"F"	"Murray County, GA"	"13213"	"2011"	"2011"	19884
	"Female"	"F"	"Murray County, GA"	"13213"	"2015"	"2015"	19971
"Total"	"Female"	"F"	"Murray County, GA"	"13213"			39855
	"Female"	"F"	"Muscogee County, GA"	"13215"	"2011"	"2011"	100569
	"Female"	"F"	"Muscogee County, GA"	"13215"	"2015"	"2015"	101339
"Total"	"Female"	"F"	"Muscogee County, GA"	"13215"			201908
	"Female"	"F"	"Newton County, GA"	"13217"	"2011"	"2011"	52638
	"Female"	"F"	"Newton County, GA"	"13217"	"2015"	"2015"	55064
"Total"	"Female"	"F"	"Newton County, GA"	"13217"			107702
	"Female"	"F"	"Oconee County, GA"	"13219"	"2011"	"2011"	17049
	"Female"	"F"	"Oconee County, GA"	"13219"	"2015"	"2015"	18283
"Total"	"Female"	"F"	"Oconee County, GA"	"13219"			35332
	"Female"	"F"	"Oglethorpe County, GA"	"13221"	"2011"	"2011"	7382
	"Female"	"F"	"Oglethorpe County, GA"	"13221"	"2015"	"2015"	7498
"Total"	"Female"	"F"	"Oglethorpe County, GA"	"13221"			14880
	"Female"	"F"	"Paulding County, GA"	"13223"	"2011"	"2011"	73367
	"Female"	"F"	"Paulding County, GA"	"13223"	"2015"	"2015"	77622
"Total"	"Female"	"F"	"Paulding County, GA"	"13223"			150989
	"Female"	"F"	"Peach County, GA"	"13225"	"2011"	"2011"	14328
	"Female"	"F"	"Peach County, GA"	"13225"	"2015"	"2015"	13973
"Total"	"Female"	"F"	"Peach County, GA"	"13225"			28301
	"Female"	"F"	"Pickens County, GA"	"13227"	"2011"	"2011"	14972
	"Female"	"F"	"Pickens County, GA"	"13227"	"2015"	"2015"	15325
"Total"	"Female"	"F"	"Pickens County, GA"	"13227"			30297
	"Female"	"F"	"Pierce County, GA"	"13229"	"2011"	"2011"	9537
	"Female"	"F"	"Pierce County, GA"	"13229"	"2015"	"2015"	9650
"Total"	"Female"	"F"	"Pierce County, GA"	"13229"			19187
	"Female"	"F"	"Pike County, GA"	"13231"	"2011"	"2011"	9068
	"Female"	"F"	"Pike County, GA"	"13231"	"2015"	"2015"	9089
"Total"	"Female"	"F"	"Pike County, GA"	"13231"			18157
	"Female"	"F"	"Polk County, GA"	"13233"	"2011"	"2011"	20930
	"Female"	"F"	"Polk County, GA"	"13233"	"2015"	"2015"	21029
"Total"	"Female"	"F"	"Polk County, GA"	"13233"			41959
	"Female"	"F"	"Pulaski County, GA"	"13235"	"2011"	"2011"	6706
	"Female"	"F"	"Pulaski County, GA"	"13235"	"2015"	"2015"	6502
"Total"	"Female"	"F"	"Pulaski County, GA"	"13235"			13208
	"Female"	"F"	"Putnam County, GA"	"13237"	"2011"	"2011"	10956
	"Female"	"F"	"Putnam County, GA"	"13237"	"2015"	"2015"	10936
"Total"	"Female"	"F"	"Putnam County, GA"	"13237"			21892
	"Female"	"F"	"Quitman County, GA"	"13239"	"2011"	"2011"	1286
	"Female"	"F"	"Quitman County, GA"	"13239"	"2015"	"2015"	1157
"Total"	"Female"	"F"	"Quitman County, GA"	"13239"			2443
	"Female"	"F"	"Rabun County, GA"	"13241"	"2011"	"2011"	8248
	"Female"	"F"	"Rabun County, GA"	"13241"	"2015"	"2015"	8267
"Total"	"Female"	"F"	"Rabun County, GA"	"13241"			16515
	"Female"	"F"	"Randolph County, GA"	"13243"	"2011"	"2011"	4083
	"Female"	"F"	"Randolph County, GA"	"13243"	"2015"	"2015"	3869
"Total"	"Female"	"F"	"Randolph County, GA"	"13243"			7952
	"Female"	"F"	"Richmond County, GA"	"13245"	"2011"	"2011"	103552
	"Female"	"F"	"Richmond County, GA"	"13245"	"2015"	"2015"	103619
"Total"	"Female"	"F"	"Richmond County, GA"	"13245"			207171
	"Female"	"F"	"Rockdale County, GA"	"13247"	"2011"	"2011"	44913
	"Female"	"F"	"Rockdale County, GA"	"13247"	"2015"	"2015"	46655
"Total"	"Female"	"F"	"Rockdale County, GA"	"13247"			91568
	"Female"	"F"	"Schley County, GA"	"13249"	"2011"	"2011"	2622
	"Female"	"F"	"Schley County, GA"	"13249"	"2015"	"2015"	2736
"Total"	"Female"	"F"	"Schley County, GA"	"13249"			5358
	"Female"	"F"	"Screven County, GA"	"13251"	"2011"	"2011"	7348
	"Female"	"F"	"Screven County, GA"	"13251"	"2015"	"2015"	7165
"Total"	"Female"	"F"	"Screven County, GA"	"13251"			14513
	"Female"	"F"	"Seminole County, GA"	"13253"	"2011"	"2011"	4584
	"Female"	"F"	"Seminole County, GA"	"13253"	"2015"	"2015"	4477
"Total"	"Female"	"F"	"Seminole County, GA"	"13253"			9061
	"Female"	"F"	"Spalding County, GA"	"13255"	"2011"	"2011"	33021
	"Female"	"F"	"Spalding County, GA"	"13255"	"2015"	"2015"	33116
"Total"	"Female"	"F"	"Spalding County, GA"	"13255"			66137
	"Female"	"F"	"Stephens County, GA"	"13257"	"2011"	"2011"	13438
	"Female"	"F"	"Stephens County, GA"	"13257"	"2015"	"2015"	13265
"Total"	"Female"	"F"	"Stephens County, GA"	"13257"			26703
	"Female"	"F"	"Stewart County, GA"	"13259"	"2011"	"2011"	2315
	"Female"	"F"	"Stewart County, GA"	"13259"	"2015"	"2015"	2182
"Total"	"Female"	"F"	"Stewart County, GA"	"13259"			4497
	"Female"	"F"	"Sumter County, GA"	"13261"	"2011"	"2011"	16932
	"Female"	"F"	"Sumter County, GA"	"13261"	"2015"	"2015"	16168
"Total"	"Female"	"F"	"Sumter County, GA"	"13261"			33100
	"Female"	"F"	"Talbot County, GA"	"13263"	"2011"	"2011"	3585
	"Female"	"F"	"Talbot County, GA"	"13263"	"2015"	"2015"	3437
